generation, team A best, team A current, team B best, team B current, Dropped %
262, 0.2, 0.2, 0.2, 0.2, 0.0952381
263, 0.2, 0.2, 0.2, 0.2, 0.0952381
264, 0.2, 0.2, 0.2, 0.2, 0.0952381
265, 0.2, 0.2, 0.2, 0.2, 0.0952381
266, 0.2, 0.2, 0.2, 0.2, 0.0952381
267, 0.2, 0.2, 0.2, 0.2, 0.0952381
268, 0.2, 0.2, 0.2, 0.2, 0.0952381
269, 0.2, 0.2, 0.2, 0.2, 0.0952381
270, 0.2, 0.2, 0.2, 0.2, 0.0952381
271, 0.2, 0.2, 0.2, 0.2, 0.0952381
272, 0.2, 0.2, 0.2, 0.2, 0.0952381
273, 0.2, 0.2, 0.2, 0.2, 0.0952381
274, 0.2, 0.2, 0.2, 0.2, 0.0952381
275, 0.2, 0.2, 0.2, 0.2, 0.0952381
276, 0.2, 0.2, 0.2, 0.2, 0.0952381
277, 0.2, 0.2, 0.2, 0.2, 0.0952381
278, 0.2, 0.2, 0.2, 0.2, 0.0952381
279, 0.2, 0.2, 0.2, 0.2, 0.0952381
280, 0.2, 0.2, 0.2, 0.2, 0.0952381
281, 0.2, 0.2, 0.2, 0.2, 0.0952381
282, 0.2, 0.2, 0.2, 0.2, 0.0952381
283, 0.2, 0.2, 0.2, 0.2, 0.0952381
284, 0.2, 0.2, 0.2, 0.2, 0.0952381
285, 0.2, 0.2, 0.2, 0.2, 0.0952381
286, 0.2, 0.2, 0.2, 0.2, 0.0952381
287, 0.2, 0.2, 0.2, 0.2, 0.0952381
288, 0.2, 0.2, 0.2, 0.2, 0.0952381
289, 0.2, 0.2, 0.2, 0.2, 0.0952381
290, 0.2, 0.2, 0.2, 0.2, 0.0952381
291, 0.2, 0.2, 0.2, 0.2, 0.0952381
292, 0.2, 0.2, 0.2, 0.2, 0.0952381
293, 0.2, 0.2, 0.2, 0.2, 0.0952381
294, 0.2, 0.2, 0.2, 0.2, 0.0952381
295, 0.2, 0.2, 0.2, 0.2, 0.0952381
296, 0.2, 0.2, 0.2, 0.2, 0.0952381
297, 0.2, 0.2, 0.2, 0.2, 0.0952381
298, 0.2, 0.2, 0.2, 0.2, 0.0952381
299, 0.2, 0.2, 0.2, 0.2, 0.0952381
300, 0.2, 0.2, 0.2, 0.2, 0.0952381
301, 0.2, 0.2, 0.2, 0.2, 0.0952381
