generation, Top Error, Gen Error, Trial 0, Trial 1, Trial 2, Trial 3
107, 0.258084537689057, 0.258084537689057, 0.294814485425693, 0.0995982410243615, 0.444603780977413, 0.193321643328761
108, 0.258925324343527, 0.258925324343527, 0.296883668785884, 0.105802530512776, 0.440244695686244, 0.192770402389203
109, 0.258843452697791, 0.258843452697791, 0.302458528933492, 0.101769727875223, 0.439845465056218, 0.19130008892623
110, 0.258769264343124, 0.258769264343124, 0.302522525289654, 0.101621284111486, 0.439462360944528, 0.191470887026828
111, 0.258769264343124, 0.258769264343124, 0.302522525289654, 0.101621284111486, 0.439462360944528, 0.191470887026828
112, 0.258769264343124, 0.259084625916863, 0.296315959174762, 0.104631823580124, 0.440875973410152, 0.194514747502415
113, 0.258769264343124, 0.261768603909805, 0.297820461994654, 0.11209990122528, 0.428657315616301, 0.208496736802987
114, 0.258769264343124, 0.264572701296614, 0.308554987359321, 0.0956499340279951, 0.452916008167168, 0.201169875631973
115, 0.258769264343124, 0.261872679908382, 0.311560076429824, 0.112778499909977, 0.425428397384739, 0.197723745908988
116, 0.258769264343124, 0.259010337667813, 0.301044531662819, 0.0922764366304107, 0.451392608271299, 0.191327774106722
117, 0.256729854876646, 0.256729854876646, 0.311792485265017, 0.112731983414738, 0.410517683482044, 0.191877267344785
118, 0.255642405373643, 0.255642405373643, 0.303514285522454, 0.107224524916288, 0.418250627067352, 0.19358018398848
119, 0.253513467729517, 0.253513467729517, 0.312102395867684, 0.109803238505024, 0.401047802654631, 0.191100433890728
120, 0.253507395752221, 0.253507395752221, 0.31216901613233, 0.10978930863793, 0.400994696361492, 0.191076561877133
121, 0.253507395752221, 0.253507395752221, 0.31216901613233, 0.10978930863793, 0.400994696361492, 0.191076561877133
122, 0.253507395752221, 0.253507395752221, 0.31216901613233, 0.10978930863793, 0.400994696361492, 0.191076561877133
123, 0.253507395752221, 0.253507395752221, 0.31216901613233, 0.10978930863793, 0.400994696361492, 0.191076561877133
124, 0.253507395752221, 0.253507395752221, 0.31216901613233, 0.10978930863793, 0.400994696361492, 0.191076561877133
125, 0.25293448658375, 0.25293448658375, 0.307599691737058, 0.108093974356234, 0.404939139473093, 0.191105140768617
126, 0.25293448658375, 0.253146789463633, 0.300210823329232, 0.11954383312436, 0.39300202050181, 0.199830480899132
127, 0.25293448658375, 0.254412141525877, 0.308135219882373, 0.110157350389562, 0.407804257750381, 0.191551738081192
128, 0.252511903735162, 0.252511903735162, 0.268446134515903, 0.101309251229899, 0.44628089916382, 0.194011330031025
129, 0.250837978965464, 0.250837978965464, 0.276932934982866, 0.101742524118156, 0.433027204880345, 0.191649251880487
130, 0.250837978965464, 0.252213777735625, 0.27871566856918, 0.099382771833639, 0.44217395953372, 0.18858271100596
131, 0.250837978965464, 0.253476434412589, 0.276776040690338, 0.1067029845184, 0.434843821422403, 0.195582891019213
132, 0.250837978965464, 0.25314892520058, 0.274715423619606, 0.108278738029672, 0.432146323606633, 0.197455215546409
133, 0.250837978965464, 0.251644400109766, 0.276914721971043, 0.1062237546448, 0.427687420727835, 0.195751703095386
134, 0.250573101900562, 0.250573101900562, 0.264125039580502, 0.0942054820548198, 0.445566645339412, 0.198395240627514
135, 0.250573101900562, 0.25073672510991, 0.238788444214432, 0.0956563587450895, 0.465007480956806, 0.20349461652331
136, 0.250435058681126, 0.250435058681126, 0.274635625932211, 0.102020282195183, 0.431188424305698, 0.193895902291411
137, 0.250229123872758, 0.250229123872758, 0.300157013911886, 0.108140596965419, 0.402883961677037, 0.189734922936691
138, 0.248747767136443, 0.248747767136443, 0.296902151905934, 0.105803147903007, 0.401767220142546, 0.190518548594284
139, 0.248747767136443, 0.248901819810379, 0.29702728918844, 0.106489685840209, 0.401694174164174, 0.190396130048693
140, 0.248233974278967, 0.248233974278967, 0.295494560058911, 0.108746459363491, 0.404358505372037, 0.184336372321429
141, 0.247608454424662, 0.247608454424662, 0.297315533252676, 0.10347795982472, 0.403944061794912, 0.185696262826342
142, 0.246717065520811, 0.246717065520811, 0.279960481623033, 0.0900218818532727, 0.425555502947975, 0.191330395658964
143, 0.244174881532277, 0.244174881532277, 0.271656872413762, 0.0995880733789899, 0.416322197350135, 0.189132382986221
144, 0.244174881532277, 0.246352045579142, 0.274055163354124, 0.104085992735324, 0.419847827630875, 0.187419198596246
145, 0.244174881532277, 0.244827591552098, 0.263118095406702, 0.102718540900058, 0.418279543582988, 0.195194186318643
146, 0.244174881532277, 0.247250253665113, 0.267668222824469, 0.107274475644689, 0.418597386932055, 0.19546092925924
147, 0.244174881532277, 0.245386988409341, 0.283717667755923, 0.0972520906183773, 0.413461567488049, 0.187116627775012
148, 0.244174881532277, 0.244342796160014, 0.274211633190868, 0.101726471972143, 0.405935845691304, 0.195497233785739
149, 0.243705035964806, 0.243705035964806, 0.274823872072422, 0.108384659041228, 0.391251816616542, 0.200359796129032
150, 0.243705035964806, 0.243744396341594, 0.266121274426176, 0.0917237083791199, 0.413877123238853, 0.203255479322229
151, 0.241250361441303, 0.241250361441303, 0.258622664904738, 0.0983570454913959, 0.411024556635935, 0.196997178733142
152, 0.239246608032802, 0.239246608032802, 0.28056118302464, 0.102079715651668, 0.385614247961664, 0.188731285493236
153, 0.239246608032802, 0.239972298560166, 0.261145765139045, 0.107092731395351, 0.398305222084401, 0.193345475621868
154, 0.239246608032802, 0.24148039742326, 0.267436334912283, 0.0973434257857198, 0.408327694347981, 0.192814134647054
155, 0.239246608032802, 0.24085622978486, 0.257193985322628, 0.0874265951955155, 0.420304533807776, 0.198499804813519
156, 0.239246608032802, 0.240758522132537, 0.274204996245882, 0.100907870405777, 0.390945889414029, 0.196975332464461
157, 0.239246608032802, 0.240481232620595, 0.247748474293684, 0.0867504081914101, 0.42449675332671, 0.202929294670575
158, 0.239246608032802, 0.240856782005636, 0.265915760652933, 0.0963953169716176, 0.398849194174561, 0.20226685622343
159, 0.239246608032802, 0.239551079579351, 0.260333781224222, 0.0938319127312734, 0.41218896275664, 0.19184966160527
160, 0.238532014144129, 0.238532014144129, 0.265978387174521, 0.105573951426361, 0.39458166460941, 0.187994053366224
161, 0.238532014144129, 0.240475603245459, 0.24073796963042, 0.093624556434059, 0.426083269078823, 0.201456617838535
162, 0.238532014144129, 0.239472043240369, 0.266387253855197, 0.102261334493615, 0.396724942448984, 0.19251464216368
163, 0.236778117408839, 0.236778117408839, 0.22053092241419, 0.0874739220154334, 0.4266745482708, 0.212433076934932
164, 0.235956628163985, 0.235956628163985, 0.236575968440246, 0.0889133383995347, 0.417363271354013, 0.200973934462147
165, 0.234940103042741, 0.234940103042741, 0.226874761388322, 0.08314747314912, 0.424200557643882, 0.205537619989638
166, 0.233727530438791, 0.233727530438791, 0.22834579008161, 0.0831911438612619, 0.419899940911801, 0.203473246900491
167, 0.233179011783806, 0.233179011783806, 0.223394802762729, 0.0856822073305984, 0.422833974236656, 0.200805062805242
168, 0.23181647298835, 0.23181647298835, 0.226033663665404, 0.0863054434756477, 0.420018824333915, 0.194907960478432
169, 0.228940528803931, 0.228940528803931, 0.244275249080301, 0.0825980730170448, 0.39821454020913, 0.190674252909248
170, 0.228940528803931, 0.229659540105001, 0.233575837785038, 0.0888511170402868, 0.401919389334032, 0.194291816260646
171, 0.227247411544128, 0.227247411544128, 0.216513332657806, 0.0861137823957195, 0.407997259604057, 0.198365271518932
172, 0.227247411544128, 0.229081914678674, 0.230868330806021, 0.087322989397326, 0.404888138365845, 0.193248200145504
173, 0.227247411544128, 0.229350391981655, 0.210914143476396, 0.081388460853099, 0.420826302144859, 0.204272661452267
174, 0.227247411544128, 0.228072006533707, 0.205012703189878, 0.0810628550331465, 0.419348541090289, 0.206863926821514
175, 0.227247411544128, 0.228863165244056, 0.220600687510327, 0.0764556238423451, 0.411597604123686, 0.206798745499867
176, 0.227247411544128, 0.22728866074092, 0.235138626101453, 0.0875459830314925, 0.395078925405081, 0.191391108425653
